,PREDICT,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102,X103,X104,X105,X106,X107,X108,X109,X110,X111,X112,X113,X114,X115,X116,X117,X118,X119,X120,X121,X122,X123,X124,X125,X126,X127,X128,MGMT_NUM
13,1,0.514851485,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.011299435,0.0,0.0,0.002857143,0.0,0.008389323,0.027517861,0.0,0.025899942,0.0,0,0.052435154,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.225308642,0.222222222,0.003367003,0.0,0.0,0.0,0.014553015,0.0,0.014553015,0.0,0.032655071,0.058920239,0.099431202,0.133758652,0.0,0.0,0.0,0.006410256,0.0,0.0,0.002949853,0.0,0.0,0.03847643,0.0,0.0,0.0,0,0.03847643,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.481369078,0.181818182,0.134057971,0.0,0.002375297,0.0,0.047619048,0.200596166,0.084694374,0.038461538,0.318571429,0.065865446,0.126549291,0.145796713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0186011,0.0,0.0,0.0,0,0.01664924,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.411976912,0.181818182,0.04516129,0.0,0.0,0.0,0.048027444,0.020695632,0.054888508,0,0.08611898,0.060962938,0.158519794,0.064247902,0.0,Y,N,M,0.360215054,26902681
14,0,0.485148515,0.722222222,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026230319,0.0,0.0,0.0,0,0.026230319,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.03600823,0.0,0.0,0.0,0.0,0.0,0.014553015,0.0,0.014553015,0.0,0.019527404,0.048967035,0.144396581,0.025700035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.326251897,0.0,0.007246377,0.0,0.002375297,0.0,0.047619048,0.200596166,0.084694374,0.038461538,0.1489701,0.031045847,0.117283707,0.004125486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.279220779,0.0,0.0,0.0,0.0,0.0,0.048027444,0.0,0.048027444,0,0.031728045,0.046486531,0.178798923,0.0,0.166666667,Y,Y,F,0.059139785,32275074
15,0,0.495049505,0.805555556,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002435507,0.0,0.0,0.0,0,0.002435507,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.03600823,0.0,0.003367003,0.0,0.0,0.0,0.014553015,0.0,0.014553015,0.0,0.035936987,0.076739993,0.121877953,0.00513171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001785239,0.0,0.007357113,0.0,0,0.006717293,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.326251897,0.0,0.003623188,0.0,0.002375297,0.0,0.047619048,0.200596166,0.084694374,0.038461538,0.147342193,0.07620154,0.14252616,0.010649669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00557247,0.0,0.006729573,0.0,0,0.008190789,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.279220779,0.0,0.0,0.0,0.0,0.0,0.048027444,0.0,0.048027444,0,0.031728045,0.085191707,0.16900957,0.007352479,0.25,N,N,M,0.043010753,32465161
16,0,0.584158416,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.03600823,0.0,0.0,0.0,0.0,0.0,0.014553015,0.0,0.014553015,0.0,0.019527404,0.001395974,0.005634716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.326251897,0.0,0.0,0.0,0.002375297,0.0,0.047619048,0.200596166,0.084694374,0.038461538,0.145016611,0.003397733,0.011922391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.279220779,0.0,0.0,0.0,0.0,0.0,0.048027444,0.0,0.048027444,0,0.031728045,0.006011196,0.028751523,0.0,0.0,N,N,M,0.365591398,26817204
17,0,0.594059406,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.03600823,0.0,0.0,0.0,0.0,0.0,0.014553015,0.0,0.014553015,0.0,0.019527404,0.187639574,0.189531533,0.003217546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.326251897,0.0,0.0,0.0,0.002375297,0.0,0.047619048,0.200596166,0.084694374,0.038461538,0.145016611,0.140234906,0.150347895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.279220779,0.0,0.0,0.0,0.0,0.0,0.048027444,0.0,0.048027444,0,0.031728045,0.127244596,0.162680518,0.0,0.083333333,Y,N,M,0.392473118,26434844
18,0,0.405940594,0.194444444,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.16872428,0.111111111,0.0,0.0,0.0,0.0,0.014553015,0.0,0.014553015,0.0,0.019527404,0.195901869,0.618587353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001961198,0.0,0.0,0.0,0,0.001961198,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.435002529,0.090909091,0.003623188,0.0,0.002375297,0.0,0.047619048,0.214145383,0.090415034,0.038461538,0.14833887,0.107082031,0.56206628,0.001762816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007336,0.0,0.0,0.0,0,0.000656622,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.372294372,0.090909091,0.006451613,0.0,0.0,0.0,0.048027444,0.021872696,0.055278731,0,0.036518414,0.034347602,0.647991771,0.00058635,0.0,N,N,M,0.161290323,30594117
19,1,0.544554455,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001764197,0.0,0.0,0.0,0.0,0,0.001454953,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.425925926,0.444444444,0.023569024,0.0,0.0,0.0,0.023284823,0.0,0.023284823,0.0,0.039629143,0.130132923,0.154074504,0.164852379,0.0,0.0,0.0,0.0,0.0,0.0,0.01179941,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.645759568,0.363636364,0.02173913,0.0,0.005938242,0.0,0.047619048,0.200596166,0.084694374,0.038461538,0.161877076,0.110363976,0.161207708,0.127175283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000783217,0.0,0.0,0.0,0.0,0,0.000782771,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.552669553,0.363636364,0.012903226,0.0,0.0,0.0,0.054030875,0.0,0.054030875,0,0.038668555,0.172970453,0.20148504,0.124434682,0.0,N,N,F,0.639784946,21308450
20,0,0.475247525,0.888888889,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.03600823,0.0,0.0,0.0,0.0,0.0,0.014553015,0.0,0.014553015,0.0,0.019527404,0.213579215,0.352629631,1.92e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.326251897,0.0,0.0,0.0,0.002375297,0.0,0.047619048,0.200596166,0.084694374,0.038461538,0.145016611,0.174439165,0.304066301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003952569,0.0,0.0,0.019485576,0.008849558,0.0,0.0,0,0.017440906,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.279220779,0.0,0.0,0.0,0.0,0.0,0.048027444,0.0,0.048027444,0,0.031728045,0.160549739,0.339701737,0.015574374,0.166666667,N,N,F,0.02688172,32861414
21,0,0.346534653,0.861111111,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00919618,0.0,0,0.006390658,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.03600823,0.0,0.01010101,0.0,0.0,0.0,0.014553015,0.0,0.02037422,0.082352941,0.026419429,0.006036231,0.090701858,0.008886282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.326251897,0.0,0.0,0.0,0.002375297,0.0,0.047619048,0.200596166,0.084694374,0.038461538,0.145016611,0.006781525,0.077669736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.279220779,0.0,0.0,0.0,0.0,0.0,0.048027444,0.0,0.048027444,0,0.031728045,0.000478512,0.091262073,0.0,0.166666667,N,N,M,0.032258065,32593874
22,0,0.485148515,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000430709,0.0,0.0,0.0,0.0,0,0.000355211,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.03600823,0.0,0.01010101,0.0,0.0,0.0,0.014553015,0.0,0.014553015,0.0,0.029373154,0.191646864,0.234759295,0.00555311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012197202,0.0,0.0,0.0,0.0,0,0.011377191,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.326251897,0.0,0.032608696,0.0,0.002375297,0.0,0.055627976,0.200596166,0.092391522,0.038461538,0.170416944,0.193504653,0.230612787,0.021002474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.279220779,0.0,0.0,0.0,0.0,0.0,0.048027444,0.0,0.048027444,0,0.031728045,0.214758044,0.263558813,0.0,0.416666667,Y,Y,M,0.150537634,30922540
